id,area,comment,topic
1081,Dept 7,"mejorar la comunicacion, interactuacion de varios departamentos, ver como mi trabajo afecta a otras areas",comunicacion
1070,Dept 7,"compensación, redistribución de tareas, cambio generacional o por lo menos que se adapte a las necesidades de cada generación que labora junta (menos burocracia, más apertura, eliminar mentalidad retrógrada, aceptación y actualización de nuevas políticas laborables, conciencia de los diferentes estilos de trabajo de esas generaciones, ser flexible en lo que mejor se adapte a cada uno). análisis de las responsabilidades y funciones de las plazas que esté acorde al riesgo operacional (lo dijeron en una charla trimestral pero a nadie le preguntaron y si lo hicieron nadie se enteró de esos resultados). políticas más abierta en términos al trabajo remoto o combinación de ambos. el aspecto socio-económico de estas generaciones es algo que se tiene que considerar para establecer las distintas estrategia. estas no pueden ser las mismas para todos. en ese sentido le toca a la organización educar para que todos podamos adaptarnos y unir experiencia y juventud. creo que es lo justo considerando que la compensación actual no es la mejor comparada con la que se pagaba en años anteriores y el costo de vida actual. es crear un balance. entendimiento claro del trabajo en equipo de todas la áreas en la división para alcanzar las metas. muchas veces sientes que cada cual trabaja en instituciones distintas y en ocasiones la gerencia permite que eso suceda, cuando debería ser más efectivo para evitar este tipo de roces. deberían considerar los periodos críticos en las distintas áreas dentro de la división y darles el espacio para que concluyan esos periodos para iniciar proyectos. muchas veces sientes que es todo a la vez y que son cosas que pueden esperar a que concluyan esos periodos críticos. talvez es la falta de comunicación, no poder justificar la importancia de hacerlo en el momento. reconocer a esos empleados o áreas de trabajo en la división que tienen proyectos constantes y volumen de trabajo que es constante pero su compensación es igual a la de otros compañeros de otras áreas con menos responsabilidades. creo que es importante que la institución comience a hacer ese tipo de distinción para identificar los mejores recursos y atraer el mejor personal. no puedes aplicar la misma vara a todo, hacerlo no refleja la realidad. al contrario sientes que lo das todo pero nunca recibes la justa compensación o el apoyo necesario. es necesario este tipo de reconocimientos para que todos estemos motivados y con la mejor actitud para enfrentar los retos, proyectos y el volumen de trabajo que continuamente tenemos. en estos momentos, esto no va a la par, hay un disgusto generalizado, más apertura a la hora de interpretar los resultados de las encuestas, la gerencia no puede reaccionar sorprendida cuando ni siquiera intentan hacer cambios, resolver estos asuntos o trabajar estrategias que se adapten a todos y que no sean superficiales. no puedes exigir lo que no estás dispuesto a dar. otro aspecto con el que tienen que trabajar es con el micromanagement, esto no funciona con las nuevas generaciones. tampoco funciona el no tener flexibilidad, el no tener un buen paquete de compensación, no tener gente que te sirva de mentor porque no pueden transmitir conocimientos, oportunidades de crecimiento y desarrollo, retroalimentación en el momento, balance entre vida y trabajo. la gente no se siente a gusto con la compensación pero también te falta todo lo demás. en este caso no puede sorprender los resultados de una encuestas, ni mucho menos la falta de motivación. ",comunicacion
1472,Dept 9,buena comunicacion entre lideres y empleados,comunicacion
699,Dept 4,comunicacion de los gerentes hacia los empleados.,comunicacion
2200,Dept 9,que la comunicacion entre la gerencia intermedia y la gerencia por departamento sea mas efectiva y que se tome en consideracion la manera real de como se realiza el trabajo. ,comunicacion
588,Dept 4,"empresa que apoya al talento humano, los lideres apoyan el desarrollo profesional (adiestramientos, salud, desarrollo interno) . la comunicacion a todos los niveles con las metas es adecuada y apoya a las comunidades mas ahora durante los tiempos del covid 19 que es unica.y se han tomado todas las medidas necesarias para proteger a los clientes y empleados",comunicacion
815,Dept 5,mayor comunicación y acción en el plan de desarrollo de empleados ante oportunidades de crecimiento. ,comunicacion
2521,Dept 9,"carga laboral en sus empleados y conectar a los departamento con posibles personas de contactos. debende el area laboral los empleados deben comunicarse con otros departamentos pero no se tiene un contacto en especifico, ya se num o email. ",comunicacion
2352,Dept 9,"al gerente y al supervisor no tiene buena comunicacion con el empleado y esperan siempre que uno vaya y le este preguntan sobre cambios y tareas.al momento de covid siempre nos informaban el domingo a las 8:00 pm o 9;00 para coordinar si trabajabas la semana,estoy remoto y tuve que llegar a la oficina y no estoy segura.",comunicacion
1608,Dept 9,"si, el profesionalismo y la estabilidad es lo que más representa el lugar de trabajo. la manera de comunicarse entre compañeros.",comunicacion
653,Dept 4,"transparencia y comunicación efectiva por parte de recursos humanos. ejemplo cuando le van a cambiar el titulo y posición de empleados, maxime cuando cambian de ser gerente a supervisor. ",comunicacion
2624,Dept 9,"trato gerencial y comunicacion efectiva de cada situacion, companerismo, ",comunicacion
2057,Dept 9,"el servicio de nuestra gente (acceso a recursos humanos a toda hora y donde quiera que estes, puedes tener comunicación) actividades extracurriculares (la empresa te deja saber sobre las actividades para celebrar en conjunto como institución o aquellas que realizará para ayudar a la comunidad, como el 5k) beneficios a los empleados (salario, plan medico, bonos u otros. es evaluado equitativamente, según tus años de experiencia en el area de trabajo, años de servicios con la empresa, educación, entre otros aspectos) ",comunicacion
1687,Dept 9,"la frecuencia de la comunicación de los líderes, la flexibilidad del horario laboral, la posibilidad de trabahar remotoo y presencial algunos días cuando termine la cuarentena, recibir feedback, tener la psoiibilidad de trabajar con otras areas, de aprender nuevas tareas.",comunicacion
1025,Dept 6,"cambiaria el que los supervisors y gerentes no comuniquen todo lo necesario a sus empleados. entiendo que todos los puntos y la información debe estar claro entres los empleados regulares y los gerenciales para evitar malos entendidos y estrés en el ambiente laboral dado a falta de detalles importantes que se deben de aclarar. tambien se debe cambiar el que tengamos ciertos titulus, como decir representante, y hacer un trabajo de análisis, lo cual conlleva el título de analista. se debe de dar el título correcto a quienes le aplican y dar el pago correcto de acuerdo al tipo de trabajo que tiene. ",informacion
1343,Dept 8,"que las unidades que trabajen con información sensitiva (auditoria por ejemplo) les conceda un espacio cerrado para mantener la confidencialidad. también, fomentar el desarrollo de la inteligencia emocional en los lideres de la organización. ",informacion
2057,Dept 9,"crear un área de entrenamiento o training para los nuevos empleados. que por medio de talleres, cursos u horas contactos, exista un facilitador que le explique el porque, como y cuando utilizar las herramientas (aplicaciones) que utilizaras en tu area de trabajo. así, ir obteniendo conocimiento básico de las mismas y poder comprender e implementar tu trabajo de manera segura y correcta. sí existe el compañero que te explica pero muchas veces dependes de la disponibilidad de el o ella. tambien, si tienes muchas preguntas no pueden contestarlas hasta tanto ocurra la situación. pero, si de antemano yo tengo el conocimiento puedo resolver la discrepancia sin esperar a nadie. ",informacion
2324,Dept 9,"pienso que cada departamento es diferente, cada supervisor debería de llamar a sus empleados de firma privada y bueno mensual o trimestral hacerle saber las cosas buenas y las no tan buenas. incentivar al empleado también es una manera de mantener contento a ese empleado que de la milla xtra.",informacion
1132,Dept 7,"la empresa es una familia. llevo un año en la empresa y es algo que he presenciado en multiples ocasiones, desde las celebraciones hasta las reuniones, desde las buenas noticias a las no tan buenas, aqui no se viene a trabajar solamente, se viene a trabajar, a compartir, a vivir y ha luchar juntos.",informacion
1804,Dept 9,entiendo siempre nos mantienenen muy bien informados y adiestrados.,informacion
1237,Dept 7,siempre se trabaja en equipo y si necesitas ayuda de otros departamentos siempre están dispuestos a dar una mano aunque no tengan conocimiento de como resolver la situación.,informacion
2684,Dept 9,mayor presencia de nuestra gente (recursos humanos) en las áreas de trabajo.,informacion
1070,Dept 7,"compensación, redistribución de tareas, cambio generacional o por lo menos que se adapte a las necesidades de cada generación que labora junta (menos burocracia, más apertura, eliminar mentalidad retrógrada, aceptación y actualización de nuevas políticas laborables, conciencia de los diferentes estilos de trabajo de esas generaciones, ser flexible en lo que mejor se adapte a cada uno). análisis de las responsabilidades y funciones de las plazas que esté acorde al riesgo operacional (lo dijeron en una charla trimestral pero a nadie le preguntaron y si lo hicieron nadie se enteró de esos resultados). políticas más abierta en términos al trabajo remoto o combinación de ambos. el aspecto socio-económico de estas generaciones es algo que se tiene que considerar para establecer las distintas estrategia. estas no pueden ser las mismas para todos. en ese sentido le toca a la organización educar para que todos podamos adaptarnos y unir experiencia y juventud. creo que es lo justo considerando que la compensación actual no es la mejor comparada con la que se pagaba en años anteriores y el costo de vida actual. es crear un balance. entendimiento claro del trabajo en equipo de todas la áreas en la división para alcanzar las metas. muchas veces sientes que cada cual trabaja en instituciones distintas y en ocasiones la gerencia permite que eso suceda, cuando debería ser más efectivo para evitar este tipo de roces. deberían considerar los periodos críticos en las distintas áreas dentro de la división y darles el espacio para que concluyan esos periodos para iniciar proyectos. muchas veces sientes que es todo a la vez y que son cosas que pueden esperar a que concluyan esos periodos críticos. talvez es la falta de comunicación, no poder justificar la importancia de hacerlo en el momento. reconocer a esos empleados o áreas de trabajo en la división que tienen proyectos constantes y volumen de trabajo que es constante pero su compensación es igual a la de otros compañeros de otras áreas con menos responsabilidades. creo que es importante que la institución comience a hacer ese tipo de distinción para identificar los mejores recursos y atraer el mejor personal. no puedes aplicar la misma vara a todo, hacerlo no refleja la realidad. al contrario sientes que lo das todo pero nunca recibes la justa compensación o el apoyo necesario. es necesario este tipo de reconocimientos para que todos estemos motivados y con la mejor actitud para enfrentar los retos, proyectos y el volumen de trabajo que continuamente tenemos. en estos momentos, esto no va a la par, hay un disgusto generalizado, más apertura a la hora de interpretar los resultados de las encuestas, la gerencia no puede reaccionar sorprendida cuando ni siquiera intentan hacer cambios, resolver estos asuntos o trabajar estrategias que se adapten a todos y que no sean superficiales. no puedes exigir lo que no estás dispuesto a dar. otro aspecto con el que tienen que trabajar es con el micromanagement, esto no funciona con las nuevas generaciones. tampoco funciona el no tener flexibilidad, el no tener un buen paquete de compensación, no tener gente que te sirva de mentor porque no pueden transmitir conocimientos, oportunidades de crecimiento y desarrollo, retroalimentación en el momento, balance entre vida y trabajo. la gente no se siente a gusto con la compensación pero también te falta todo lo demás. en este caso no puede sorprender los resultados de una encuestas, ni mucho menos la falta de motivación. ",informacion
623,Dept 4,"algunos edificios tienen oficinas que sinceramente deprimen a uno. poco a poco estan remodelando algunas pero la oficina es un lugar donde uno esta todo el dia e inevitablemente afecta el estado de animo. si las instalaciones no son las apropiadas, eso afecta el desempeño de los empleados. lo otro que cambiaria. seria la paga de los empleados que trabajan directamente con los clientes. con los que dan la cara por el empresa, tienen muchas metas que cumplir y la paga no compensa todo el trabajo que realizan. entiendo que hay muchos empleados que llevan muchos años en la organizacion ganando menos de lo que se supone. entiendo que iba a haber un ajuste este año (que se cancelo por el covid-19) precisamente por eso asi que por ese lado entiendo que el empresa esta tomando accion. para colmo en muchos de los edificios hay que pagar el parking. recientemente redijeron el costo pero esa es una de las cosas que cuando las expreso a mis amigos o familiares, me da verguenza porque la reaccion de la gente es muy particular.",informacion
864,Dept 5,"- la forma en que se está implementando el cambio cultural organizacional (ej. conecta). para que sea efectivo deben hacerse de manera uniforme en la organización y con métricas claras. por ejemplo, el enfásis es en reconocer lo que se hace bien a través de ""badges"" y otros programas a nivel de unidad y corporación. sin embargo, ¿cuál es el curso de acción para lo que no están abrazando el cambio? también debe haber mayor grado de honestidad en los líderes de la organización para evaluar la radiografía de la situación actual (ej. en varias reuniones el mensaje ha sido sabemos que esto se hace pero estamos repasando. sin embargo la realidad es que hay muchos problemas en las unidades que se están dejando pasar por alto). - trabajar para disminuir el machismo en la organización (pricinpalmente a nivel gerencial) ",informacion
2266,Dept 9,los líderes tienen que estar más prestos a innovar e implementar eficiencias en los trabajos diarios que toman demasiado tiempo.,lideres
1874,Dept 9,algunos líderes y major salario,lideres
2054,Dept 9,en algunas areas de trabajo los lideres no saben manejar a empleados,lideres
2939,Dept 10,"estabilidad laborar, los lideres saben tomar decisiones en plano económico bastantes acertadas.",lideres
82,Dept 1,"que los líderes, además de ser buenos administradores, fueran buenas personas y con sentimientos genuinos en pro de empleados. sin que tuvieran preferencias o amigos a quienes darle mejores oportunidades. ",lideres
588,Dept 4,"empresa que apoya al talento humano, los lideres apoyan el desarrollo profesional (adiestramientos, salud, desarrollo interno) . la comunicacion a todos los niveles con las metas es adecuada y apoya a las comunidades mas ahora durante los tiempos del covid 19 que es unica.y se han tomado todas las medidas necesarias para proteger a los clientes y empleados",lideres
860,Dept 5,algunos líderes (pocos) deben modelar lo que predican,lideres
2418,Dept 9,la rotación de lideres o gerentes a cargo para minimizar el apoderamiento.,lideres
469,Dept 4,"reforzaria las areas de liderazgo estrategico, inteligencia emocional y manejo de equipos de trabajo con talleres continuos para nuestros lideres. necesitamos ser flexibles y adoptar una mente agil para poder lidiar con los retos futuros y constantes cambios. continuar reforzando el desarrollo de academias o escuelas de desarrollo y capacitacion como la academia lean six sigma, data analytics development program, mortgage servicing academy, entre otros. ",lideres
2141,Dept 9,"que los lideres y supervisores dejaran a un lado el panismo, ya que es bien marcado en el lugar de trabajo. por ejemplo: gerente nombra a supervisor de area porque es su amiga esta nueva supervisora lleva en el area años y aun no sabe los proceso.",lideres
864,Dept 5,"- la forma en que se está implementando el cambio cultural organizacional (ej. conecta). para que sea efectivo deben hacerse de manera uniforme en la organización y con métricas claras. por ejemplo, el enfásis es en reconocer lo que se hace bien a través de ""badges"" y otros programas a nivel de unidad y corporación. sin embargo, ¿cuál es el curso de acción para lo que no están abrazando el cambio? también debe haber mayor grado de honestidad en los líderes de la organización para evaluar la radiografía de la situación actual (ej. en varias reuniones el mensaje ha sido sabemos que esto se hace pero estamos repasando. sin embargo la realidad es que hay muchos problemas en las unidades que se están dejando pasar por alto). - trabajar para disminuir el machismo en la organización (pricinpalmente a nivel gerencial) ",lideres
2629,Dept 9,se siente un ambiente familiar y empatia entre los lideres y empleados y es la empresa de mayor prestigio en el pais. ,lideres
1226,Dept 7,"sus lideres, beneficios y compañeros de trabajo.",lideres
2574,Dept 9,actualmente la empresa mortgage ha implementado unos cambios que hacen que el empresa sea mas burocrático y difícil a la hora de manejar el trabajo diario. los supervisors & gerentes tienen que consultar todo y en ocasiones no toman decisions rapidas para poder dar un servicio de excelencia además actualmente están solicitando trabajo que es imposible lograr ya que la burocracia afecta los procesos. en fim de mes si cerramos muchos millones somos excelentes pero ya el primero del mes empieza la presión insostenible para lograr las metas del mes próximo en 8 horas es imposible lograr y cumplir el trabajo asignado ya que temenos 3 veces la cantidad de préstamos que podemos manejar.,lideres
944,Dept 6,"los mejores beneficios. tienen empatía, son solidarios, etc. nuestros líderes siempre piensan en la salud y el porvenir de los empleados. siempre que sucede un desastre natural o ahora con la pandemia, ellos han hecho lo indecible para ayudarnos. siempre contamos con nuestro institucion para darnos la mano y no solo a los empleados, también a los clientes y cualquier ciudadano. el ambiente laboral es uno siempre de respeto y compañerismo. es un institucion con prestigio y es sólido, me siento bien segura y orgullosa de trabajar en mi institucion. ",lideres
1477,Dept 9,"si pudiera cambiar algo de mi unidad, seria la forma en que se nos califica a los empleados en las llamadas. considero que la manera que lo hacen es un poco injusta. por ejemplo, me quitaron todos los puntos de un renglon donde piden como 5 cosas y solo no cumpli con una. esto afecto mi calificacion total en esa llamada y por consecuente mi calificacion final del trimester y no pude llevarme incentive aunque cumpli con todo lo demas. por otro lado, cambiaria la manera en que los lideres responden a los empleados cuando se les hace una pregunta directa. sus respuestas no son claras y dejan al empleado con la misma duda.",lideres
2342,Dept 9,cambiaria algunos supervisores y jefes de otras areas de trabajo ,lideres
1025,Dept 6,"cambiaria el que los supervisors y gerentes no comuniquen todo lo necesario a sus empleados. entiendo que todos los puntos y la información debe estar claro entres los empleados regulares y los gerenciales para evitar malos entendidos y estrés en el ambiente laboral dado a falta de detalles importantes que se deben de aclarar. tambien se debe cambiar el que tengamos ciertos titulus, como decir representante, y hacer un trabajo de análisis, lo cual conlleva el título de analista. se debe de dar el título correcto a quienes le aplican y dar el pago correcto de acuerdo al tipo de trabajo que tiene. ",lideres
